handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
dave12,0,0,0,2,3,0,0,3,2,0,0,2,0,0,0,0,1,0,0,1,10,0,5,0,10,0,0,0,0,0,0,2,0,2,0,0,0
r_galaxy,0,0,1,2,2,0,0,3,1,0,0,2,0,0,0,0,1,0,0,1,9,0,3,0,6,0,0,0,0,0,0,2,0,1,0,0,2
dilanjuan039,3,0,53,32,139,0,21,115,58,10,3,52,7,1,0,0,17,16,2,10,262,3,302,5,259,0,0,54,3,0,5,96,0,74,2,11,36
Mirror1001,1,0,1,12,17,0,12,16,8,1,1,9,0,0,0,1,2,2,0,2,45,5,35,0,53,0,0,16,5,1,0,16,0,10,0,2,3
Karna_1234,0,0,0,3,3,0,1,3,1,0,0,3,0,0,0,0,0,1,0,1,13,0,4,0,8,0,0,3,1,0,0,5,0,4,0,0,0
krithik.in,1,0,21,8,37,0,2,28,16,0,0,17,0,0,0,0,1,3,0,1,87,3,55,1,84,0,0,13,0,0,0,32,0,23,0,0,12
asmaa_mohammed21,0,0,2,1,6,0,0,3,3,1,0,4,0,0,0,0,0,1,0,1,14,0,8,0,8,0,0,2,0,0,0,10,0,3,0,1,0
AC_Quan,2,1,31,15,54,0,14,41,33,6,4,30,3,0,0,1,5,7,2,10,110,2,67,3,93,1,0,18,1,0,3,34,0,25,2,6,10
thearyanshrivastav,0,0,1,6,16,0,0,17,2,0,0,2,1,0,0,0,3,1,0,1,40,1,17,0,35,0,0,8,0,0,0,15,0,7,0,0,5
chen_yang,0,0,0,1,2,0,1,3,1,0,0,2,0,0,0,0,0,0,0,1,8,0,7,0,6,0,0,0,0,0,0,4,0,2,0,0,0
vikaskathuria,2,0,39,37,83,0,17,97,47,13,3,51,6,1,0,1,15,14,1,17,232,2,111,1,194,2,0,48,1,0,5,82,1,39,0,16,36
mayankacharya074518,0,0,5,8,15,0,0,15,8,0,0,7,0,0,0,0,4,2,0,2,47,1,12,0,36,0,0,6,0,0,1,13,0,4,0,0,4
mrkus_sss,1,0,4,3,8,0,0,3,8,1,0,7,1,0,0,0,1,1,0,1,15,0,15,0,20,0,0,3,0,0,0,12,0,5,0,1,0
fwan,0,0,3,5,9,0,1,9,2,0,0,5,1,0,0,0,3,0,0,1,26,0,12,1,15,0,0,2,0,0,0,8,0,5,0,1,2
kandy_man,0,0,0,0,6,0,0,4,1,0,0,4,0,0,0,0,0,0,0,1,11,0,3,0,5,0,0,1,0,0,0,3,0,5,0,0,0
abhigyanmukherjee,0,0,2,1,8,0,0,5,2,0,0,2,0,0,0,0,1,3,0,2,14,0,10,0,12,0,0,0,0,0,0,2,0,3,0,1,0
